name,id,item,value
Bharti Airtel India,7013,DRACustomerRealmName,epc.mnc092.mcc404.3gppnetwork.org
Bharti Airtel India,7013,DRACustomerRealmName,epc.mnc070.mcc404.3gppnetwork.org
Bharti Airtel India,7013,DRACustomerRealmName,epc.mnc003.mcc404.3gppnetwork.org
Bharti Airtel India,7013,DRACustomerRealmName,epc.mnc096.mcc404.3gppnetwork.org
Bharti Airtel India,7013,DRACustomerRealmName,epc.mnc093.mcc404.3gppnetwork.org
Bharti Airtel India,7013,DRACustomerRealmName,epc.mnc054.mcc405.3gppnetwork.org
Bharti Airtel India,7013,DRACustomerRealmName,epc.mnc097.mcc404.3gppnetwork.org
Bharti Airtel India,7013,DRACustomerRealmName,epc.mnc055.mcc405.3gppnetwork.org
Bharti Airtel India,7013,DRACustomerRealmName,epc.mnc051.mcc405.3gppnetwork.org
Bharti Airtel India,7013,DRACustomerRealmName,epc.mnc056.mcc405.3gppnetwork.org
Bharti Airtel India,7013,DRACustomerRealmName,epc.mnc098.mcc404.3gppnetwork.org
Bharti Airtel India,7013,DRACustomerRealmName,epc.mnc016.mcc404.3gppnetwork.org
Bharti Airtel India,7013,DRACustomerRealmName,epc.mnc052.mcc405.3gppnetwork.org
Bharti Airtel India,7013,DRACustomerRealmNameBeforeTranslation,epc.mnc02.mcc404.3gppnetwork.org
Bharti Airtel India,7013,DRACustomerRealmNameBeforeTranslation,MME.EPC.MNC031.MCC404.3GPPNETWORK.ORG
Bharti Airtel India,7013,DRACustomerRealmNameBeforeTranslation,MME.EPC.MNC053.MCC405.3GPPNETWORK.ORG
Bharti Airtel India,7013,DRACustomerRealmNameBeforeTranslation,MME.EPC.MNC090.MCC404.3GPPNETWORK.ORG
Bharti Airtel India,7013,DRACustomerRealmNameBeforeTranslation,EPC.MNC092.MCC404.3GPPNETWORK.ORG
Bharti Airtel India,7013,DRACustomerRealmNameBeforeTranslation,mme.epc.mnc002.mcc404.3gppnetwork.org
Bharti Airtel India,7013,DRACustomerRealmNameBeforeTranslation,epc1.mnc092.mcc404.3gppnetwork.org
Bharti Airtel India,7013,DRACustomerRealmNameBeforeTranslation,epc1.mnc090.mcc404.3gppnetwork.org
Bharti Airtel India,7013,DRACustomerRealmNameBeforeTranslation,epc2.mnc090.mcc404.3gppnetwork.org
Bharti Airtel India,7013,DRAIMSIPrefix,40402
Bharti Airtel India,7013,DRAIMSIPrefix,40410
Bharti Airtel India,7013,DRAIMSIPrefix,40445
Bharti Airtel India,7013,DRAIMSIPrefix,40440
Bharti Airtel India,7013,DRAIMSIPrefix,40449
Bharti Airtel India,7013,DRAIMSIPrefix,40494
Bharti Airtel India,7013,DRAIMSIPrefix,40495
Bharti Airtel India,7013,DRAIMSIPrefix,40431
Bharti Airtel India,7013,DRAIMSIPrefix,40553
Bharti Airtel India,7013,DRAIMSIPrefix,40490
Bharti Airtel India,7013,DRAIMSIPrefix,40492
Bharti Airtel India,7013,DRAIMSIPrefix,40470
Bharti Airtel India,7013,DRAIMSIPrefix,40403
Bharti Airtel India,7013,DRAIMSIPrefix,40496
Bharti Airtel India,7013,DRAIMSIPrefix,40493
Bharti Airtel India,7013,DRAIMSIPrefix,40554
Bharti Airtel India,7013,DRAIMSIPrefix,40497
Bharti Airtel India,7013,DRAIMSIPrefix,40555
Bharti Airtel India,7013,DRAIMSIPrefix,40551
Bharti Airtel India,7013,DRAIMSIPrefix,40556
Bharti Airtel India,7013,DRAIMSIPrefix,40498
Bharti Airtel India,7013,DRAIMSIPrefix,40416
Bharti Airtel India,7013,DRAIMSIPrefix,40552
MegaFon,6439,DRACustomerRealmName,epc.mnc002.mcc250.3gppnetwork.org
MegaFon,6439,DRAIMSIPrefix,25002
Zain Kuwait,7117,DRACustomerRealmName,epc.mnc002.mcc419.3gppnetwork.org
Zain Kuwait,7117,DRAIMSIPrefix,41902
ELISA EESTI AS,6930,DRACustomerRealmName,epc.mnc002.mcc248.3gppnetwork.org
ELISA EESTI AS,6930,DRAIMSIPrefix,24802
Manx Telecom,7330,DRACustomerRealmName,epc.mnc058.mcc234.3gppnetwork.org
Manx Telecom,7330,DRAIMSIPrefix,23458
Indosat - M3,6976,DRACustomerRealmName,epc.mnc001.mcc510.3gppnetwork.org
Indosat - M3,6976,DRAIMSIPrefix,51001
Orange Dominicana,7107,DRACustomerRealmName,epc.mnc001.mcc370.3gppnetwork.org
Orange Dominicana,7107,DRAIMSIPrefix,37001
Vodacom South Africa,6745,DRACustomerRealmName,epc.mnc001.mcc655.3gppnetwork.org
Vodacom South Africa,6745,DRAIMSIPrefix,65501
Telenor Serbia,7074,DRACustomerRealmName,epc.mnc001.mcc220.3gppnetwork.org
Telenor Serbia,7074,DRAIMSIPrefix,22001
Cyprus Telecommunications Auth,7351,DRACustomerRealmName,epc.mnc001.mcc280.3gppnetwork.org
Cyprus Telecommunications Auth,7351,DRAIMSIPrefix,28001
Jersey Telecom,6937,DRACustomerRealmName,epc.mnc050.mcc234.3gppnetwork.org
Jersey Telecom,6937,DRAIMSIPrefix,23450
Mobinil,7433,DRACustomerRealmName,epc.mnc001.mcc602.3gppnetwork.org
Mobinil,7433,DRAIMSIPrefix,60201
Maroc Telecom,7036,DRACustomerRealmName,epc.mnc001.mcc604.3gppnetwork.org
Maroc Telecom,7036,DRAIMSIPrefix,60401
Orange Romania,6732,DRACustomerRealmName,epc.mnc010.mcc226.3gppnetwork.org
Orange Romania,6732,DRAIMSIPrefix,22610
Hutchison 3G,7370,DRACustomerRealmName,epc.mnc099.mcc222.3gppnetwork.org
Hutchison 3G,7370,DRAIMSIPrefix,22299
Mobitel Sri Lanka,6910,DRACustomerRealmName,epc.mnc001.mcc413.3gppnetwork.org
Mobitel Sri Lanka,6910,DRAIMSIPrefix,41301
KT Corporation,6359,CustomerNodeRealm,dea1a.dea.epc.mnc008.mcc450.3gppnetwork.org
KT Corporation,6359,DRACustomerRealmName,epc.mnc008.mcc450.3gppnetwork.org
KT Corporation,6359,DRAIMSIPrefix,45008
COSMOTE Mobile Telecommunications,6897,DRACustomerRealmName,epc.mnc001.mcc202.3gppnetwork.org
COSMOTE Mobile Telecommunications,6897,DRAIMSIPrefix,20201
Radiomovil (TELCEL),6818,DRACustomerRealmName,epc.mnc020.mcc334.3gppnetwork.org
Radiomovil (TELCEL),6818,DRAIMSIPrefix,334020
Telstra,6219,DRACustomerRealmName,epc.mnc001.mcc505.3gppnetwork.org
Telstra,6219,DRAIMSIPrefix,50501
AMX Argentina S.A.(Claro),7095,DRACustomerRealmName,epc.mnc310.mcc722.3gppnetwork.org
AMX Argentina S.A.(Claro),7095,DRAIMSIPrefix,722310
MTS Ukraine,12651,DRACustomerRealmName,epc.mnc001.mcc255.3gppnetwork.org
MTS Ukraine,12651,DRAIMSIPrefix,25501
Claro Brazil,6639,DRACustomerRealmName,epc.mnc005.mcc724.3gppnetwork.org
Claro Brazil,6639,DRAIMSIPrefix,72405
Ooredoo Kuwait,6866,DRACustomerRealmName,epc.mnc003.mcc419.3gppnetwork.org
Ooredoo Kuwait,6866,DRAIMSIPrefix,41903
MTN South Africa,6974,DRACustomerRealmName,epc.mnc010.mcc655.3gppnetwork.org
MTN South Africa,6974,DRAIMSIPrefix,65510
A1 Telekom Austria,6731,DRACustomerRealmName,epc.mnc001.mcc232.3gppnetwork.org
A1 Telekom Austria,6731,DRAIMSIPrefix,23201
Vodafone Iceland,7096,DRACustomerRealmName,epc.mnc002.mcc274.3gppnetwork.org
Vodafone Iceland,7096,DRAIMSIPrefix,27402
NTT DoCoMo,6514,DRACustomerRealmName,epc.mnc010.mcc440.3gppnetwork.org
NTT DoCoMo,6514,DRAIMSIPrefix,44010
TIM Brazil,6579,DRACustomerRealmName,epc.mnc002.mcc724.3gppnetwork.org
TIM Brazil,6579,DRACustomerRealmName,epc.mnc003.mcc724.3gppnetwork.org
TIM Brazil,6579,DRACustomerRealmName,epc.mnc004.mcc724.3gppnetwork.org
TIM Brazil,6579,DRAIMSIPrefix,72402
TIM Brazil,6579,DRAIMSIPrefix,72403
TIM Brazil,6579,DRAIMSIPrefix,72404
ENTEL PCS,7305,DRACustomerRealmName,epc.mnc001.mcc730.3gppnetwork.org
ENTEL PCS,7305,DRAIMSIPrefix,73001
Zain Bahrain,12496,DRACustomerRealmName,epc.mnc002.mcc426.3gppnetwork.org
Zain Bahrain,12496,DRAIMSIPrefix,42602
Batelco Bahrain,7304,DRACustomerRealmName,epc.mnc001.mcc426.3gppnetwork.org
Batelco Bahrain,7304,DRAIMSIPrefix,42601
DataStream Technology,6562,DRACustomerRealmName,epc.mnc011.mcc528.3gppnetwork.org
DataStream Technology,6562,DRAIMSIPrefix,52811
Telefonica Moviles Mexico,6623,DRACustomerRealmName,epc.mnc030.mcc334.3gppnetwork.org
Telefonica Moviles Mexico,6623,DRACustomerRealmNameBeforeTranslation,TelefonicaMX.com
Telefonica Moviles Mexico,6623,DRAIMSIPrefix,33430
Vinaphone,7440,DRACustomerRealmName,epc.mnc002.mcc452.3gppnetwork.org
Vinaphone,7440,DRAIMSIPrefix,45202
Orange Luxembourg,6724,DRACustomerRealmName,epc.mnc099.mcc270.3gppnetwork.org
Orange Luxembourg,6724,DRAIMSIPrefix,27099
Mobitel Bulgaria,7340,DRACustomerRealmName,epc.mnc001.mcc284.3gppnetwork.org
Mobitel Bulgaria,7340,DRAIMSIPrefix,28401
Orange Jordan,7018,DRACustomerRealmName,epc.mnc077.mcc416.3gppnetwork.org
Orange Jordan,7018,DRAIMSIPrefix,41677
Telekom Srbija,7380,DRACustomerRealmName,epc.mnc003.mcc220.3gppnetwork.org
Telekom Srbija,7380,DRAIMSIPrefix,22003
Emtel Ltd,7105,DRACustomerRealmName,epc.mnc010.mcc617.3gppnetwork.org
Emtel Ltd,7105,DRAIMSIPrefix,61710
Sure Gurnsey,7321,DRACustomerRealmName,epc.mnc055.mcc234.3gppnetwork.org
Sure Gurnsey,7321,DRAIMSIPrefix,23455
Telecom Personal SA,7020,DRACustomerRealmName,epc.mnc034.mcc722.3gppnetwork.org
Telecom Personal SA,7020,DRAIMSIPrefix,72234
Cable and Wireless Panama,7499,DRACustomerRealmName,epc.mnc001.mcc714.3gppnetwork.org
Cable and Wireless Panama,7499,DRAIMSIPrefix,71401
Hong Kong Telecommunications (HKT) Limited 3G,6357,DRACustomerRealmName,epc.mnc019.mcc454.3gppnetwork.org
Hong Kong Telecommunications (HKT) Limited 3G,6357,DRACustomerRealmName,epc.mnc000.mcc454.3gppnetwork.org
Hong Kong Telecommunications (HKT) Limited 3G,6357,DRAIMSIPrefix,45419
Hong Kong Telecommunications (HKT) Limited 3G,6357,DRAIMSIPrefix,45400
Excelcomindo,6467,DRACustomerRealmName,epc.mnc011.mcc510.3gppnetwork.org
Excelcomindo,6467,DRAIMSIPrefix,51011
Telenor Montenegro,6968,DRACustomerRealmName,epc.mnc001.mcc297.3gppnetwork.org
Telenor Montenegro,6968,DRAIMSIPrefix,29701
Telenor Pakistan,12515,DRACustomerRealmName,epc.mnc006.mcc410.3gppnetwork.org
Telenor Pakistan,12515,DRAIMSIPrefix,41006
Gibtel,7400,DRACustomerRealmName,epc.mnc001.mcc266.3gppnetwork.org
Gibtel,7400,DRAIMSIPrefix,26601
Telecom Liechtenstein,7267,DRACustomerRealmName,epc.mnc005.mcc295.3gppnetwork.org
Telecom Liechtenstein,7267,DRAIMSIPrefix,29505
Orange Liechtenstein,12762,DRACustomerRealmName,epc.mnc002.mcc295.3gppnetwork.org
Orange Liechtenstein,12762,DRAIMSIPrefix,29502
Orange (Antaris SMM),7405,DRACustomerRealmName,epc.mnc002.mcc646.3gppnetwork.org
Orange (Antaris SMM),7405,DRAIMSIPrefix,64602
Celtel Malawi,12730,DRACustomerRealmName,epc.mnc010.mcc650.3gppnetwork.org 
Celtel Malawi,12730,DRAIMSIPrefix,65010
Oman Mobile,6722,DRACustomerRealmName,epc.mnc002.mcc422.3gppnetwork.org
Oman Mobile,6722,DRAIMSIPrefix,42202
Digicel Jamaica,6659,DRACustomerRealmName,epc.mnc050.mcc338.3gppnetwork.org
Digicel Jamaica,6659,DRAIMSIPrefix,338050
Digicel Jamaica,6659,DRAIMSIPrefix,348770
Tango Luxembourg,6715,DRACustomerRealmName,epc.mnc077.mcc270.3gppnetwork.org
Tango Luxembourg,6715,DRAIMSIPrefix,27077
Grameen Phone,12564,DRACustomerRealmName,epc.mnc001.mcc470.3gppnetwork.org
Grameen Phone,12564,DRAIMSIPrefix,47001
Vodafone Czech,6801,DRACustomerRealmName,epc.mnc003.mcc230.3gppnetwork.org
Vodafone Czech,6801,DRAIMSIPrefix,23003
Hutchison 3G Denmark,7126,DRACustomerRealmName,epc.mnc006.mcc238.3gppnetwork.org
Hutchison 3G Denmark,7126,DRAIMSIPrefix,23806
Spark New Zealand Trading Limited,6613,DRACustomerRealmName,epc.mnc005.mcc530.3gppnetwork.org
Spark New Zealand Trading Limited,6613,DRAIMSIPrefix,53005
Colombia Movil,6714,DRACustomerRealmName,"epc.mnc103.mcc732.3gppnetwork.org,epc.mnc111.mcc732.3gppnetwork.org"
Colombia Movil,6714,DRAIMSIPrefix,732103
Colombia Movil,6714,DRAIMSIPrefix,732111
Faroese Telecom,7477,DRACustomerRealmName,epc.mnc001.mcc288.3gppnetwork.org
Faroese Telecom,7477,DRAIMSIPrefix,28801
Conecel,7348,DRACustomerRealmName,epc.mnc001.mcc740.3gppnetwork.org
Conecel,7348,DRAIMSIPrefix,74001
Azercell,7465,DRACustomerRealmName,epc.mnc001.mcc400.3gppnetwork.org
Azercell,7465,DRAIMSIPrefix,40006
Azercell,7465,DRAIMSIPrefix,40001
Taiwan Star,6668,DRACustomerRealmName,epc.mnc089.mcc466.3gppnetwork.org
Taiwan Star,6668,DRAIMSIPrefix,46689
MagtiCom,7358,DRACustomerRealmName,epc.mnc002.mcc282.3gppnetwork.org
MagtiCom,7358,DRAIMSIPrefix,28202
CamGSM,7397,DRACustomerRealmName,epc.mnc001.mcc456.3gppnetwork.org
CamGSM,7397,DRAIMSIPrefix,45601
Tele2 Netherlands,12606,DRACustomerRealmName,epc.mnc002.mcc204.3gppnetwork.org
Tele2 Netherlands,12606,DRAIMSIPrefix,20402
Meditel,6949,DRACustomerRealmName,epc.mnc000.mcc604.3gppnetwork.org
Meditel,6949,DRAIMSIPrefix,60400
Tele2 Russia,7429,DRACustomerRealmName,epc.mnc020.mcc250.3gppnetwork.org
Tele2 Russia,7429,DRAIMSIPrefix,25020
Tele2 Latvia,6972,DRACustomerRealmName,epc.mnc002.mcc247.3gppnetwork.org
Tele2 Latvia,6972,DRAIMSIPrefix,24702
Tele2 Estonia,6971,DRACustomerRealmName,epc.mnc003.mcc248.3gppnetwork.org
Tele2 Estonia,6971,DRAIMSIPrefix,24803
Tele2 Lithuania,6973,DRACustomerRealmName,epc.mnc003.mcc246.3gppnetwork.org
Tele2 Lithuania,6973,DRAIMSIPrefix,24603
Tele2 Croatia,6978,DRACustomerRealmName,epc.mnc002.mcc219.3gppnetwork.org
Tele2 Croatia,6978,DRAIMSIPrefix,21902
MOLDCELL,12558,DRACustomerRealmName,epc.mnc002.mcc259.3gppnetwork.org
MOLDCELL,12558,DRAIMSIPrefix,25902
Viaero Wireless,7299,DRACustomerRealmName,epc.mnc450.mcc310.3gppnetwork.org
Viaero Wireless,7299,DRAIMSIPrefix,310450
"Compania Dominicana De Telefonos,S.A.",6912,DRACustomerRealmName,epc.mnc002.mcc370.3gppnetwork.org
"Compania Dominicana De Telefonos,S.A.",6912,DRAIMSIPrefix,37002
Sprint PCS,6966,DRACustomerRealmName,epc.mnc120.mcc310.3gppnetwork.org
Sprint PCS,6966,DRACustomerRealmNameBeforeTranslation,lte.sprint.com
Sprint PCS,6966,DRAIMSIPrefix,310120
Verizon Wireless,6538,DRACustomerRealmName,epc.mnc480.mcc311.3gppnetwork.org
Verizon Wireless,6538,DRACustomerRealmName,epc.mnc270.mcc311.3gppnetwork.org
Verizon Wireless,6538,DRAIMSIPrefix,311480
Verizon Wireless,6538,DRAIMSIPrefix,311270
Cubacel,7483,DRACustomerRealmName,epc.mnc001.mcc368.3gppnetwork.org
Cubacel,7483,DRAIMSIPrefix,36801
Hola,12591,DRACustomerRealmName,epc.mnc001.mcc744.3gppnetwork.org
Hola,12591,DRAIMSIPrefix,74401
Slovak Telecom,7062,DRACustomerRealmName,epc.mnc002.mcc231.3gppnetwork.org
Slovak Telecom,7062,DRAIMSIPrefix,23102
Mobily (Etihad Etisalat),6489,DRACustomerRealmName,epc.mnc003.mcc420.3gppnetwork.org
Mobily (Etihad Etisalat),6489,DRAIMSIPrefix,42003
STC,6803,DRACustomerRealmName,epc.mnc001.mcc420.3gppnetwork.org
STC,6803,DRAIMSIPrefix,42001
Telenor Bulgaria,7285,DRACustomerRealmName,epc.mnc005.mcc284.3gppnetwork.org
Telenor Bulgaria,7285,DRAIMSIPrefix,28405
Ooredoo Qatar,6792,DRACustomerRealmName,epc.mnc001.mcc427.3gppnetwork.org
Ooredoo Qatar,6792,DRAIMSIPrefix,42701
Tunisiana,7315,DRACustomerRealmName,epc.mnc003.mcc605.3gppnetwork.org
Tunisiana,7315,DRAIMSIPrefix,60503
LG U Plus,6188,DRACustomerRealmName,epc.mnc006.mcc450.3gppnetwork.org
LG U Plus,6188,DRAIMSIPrefix,45006
Safaricom,7040,DRACustomerRealmName,epc.mnc002.mcc639.3gppnetwork.org
Safaricom,7040,DRAIMSIPrefix,63902
Hutchison Indonesia,7470,DRACustomerRealmName,epc.mnc089.mcc510.3gppnetwork.org
Hutchison Indonesia,7470,DRAIMSIPrefix,51089
Geocell,7412,DRACustomerRealmName,epc.mnc001.mcc282.3gppnetwork.org
Geocell,7412,DRAIMSIPrefix,28201
Antel,6624,CustomerNodeRealm,test.grx
Antel,6624,DRACustomerRealmName,epc.mnc001.mcc748.3gppnetwork.org
Antel,6624,DRACustomerRealmNameBeforeTranslation,antel.com.uy
Antel,6624,DRACustomerRealmNameBeforeTranslation,antel.lte.com
Antel,6624,DRAIMSIPrefix,74801
KDDI,6118,CustomerNodeRealm,tdea.epc.mnc050.mcc440.3gppnetwork.org
KDDI,6118,DRACustomerRealmName,epc.mnc050.mcc440.3gppnetwork.org
KDDI,6118,DRACustomerRealmName,epc.mnc051.mcc440.3gppnetwork.org
KDDI,6118,DRAIMSIPrefix,44050
KDDI,6118,DRAIMSIPrefix,44051
Mobifone (VMS),12486,DRACustomerRealmName,epc.mnc001.mcc452.3gppnetwork.org
Mobifone (VMS),12486,DRAIMSIPrefix,45201
Viettel Group,7325,DRACustomerRealmName,epc.mnc004.mcc452.3gppnetwork.org
Viettel Group,7325,DRAIMSIPrefix,45204
Umniah,7275,DRACustomerRealmName,epc.mnc003.mcc416.3gppnetwork.org
Umniah,7275,DRAIMSIPrefix,41603
Djezzy Algeria,7435,DRACustomerRealmName,epc.mnc002.mcc603.3gppnetwork.org
Djezzy Algeria,7435,DRAIMSIPrefix,60302
Vodafone Albania,6958,DRACustomerRealmName,epc.mnc002.mcc276.3gppnetwork.org
Vodafone Albania,6958,DRAIMSIPrefix,27602
SkyTel Mongolia,12739,DRACustomerRealmName,epc.mnc001.mcc428.3gppnetwork.org
SkyTel Mongolia,12739,DRAIMSIPrefix,42801
MobiCom Corporation,7383,DRACustomerRealmName,epc.mnc099.mcc428.3gppnetwork.org
MobiCom Corporation,7383,DRAIMSIPrefix,42899
Orange Moldova,6825,DRACustomerRealmName,epc.mnc001.mcc259.3gppnetwork.org
Orange Moldova,6825,DRAIMSIPrefix,25901
Three Ireland,7346,DRACustomerRealmName,epc.mnc005.mcc272.3gppnetwork.org
Three Ireland,7346,DRACustomerRealmName,epc.mnc002.mcc272.3gppnetwork.org
Three Ireland,7346,DRAIMSIPrefix,27205
Three Ireland,7346,DRAIMSIPrefix,27202
U.S. Cellular,7311,DRACustomerRealmName,epc.mnc580.mcc311.3gppnetwork.org
U.S. Cellular,7311,DRAIMSIPrefix,311580
Meteor Mobile Telecommunications Limited,7046,DRACustomerRealmName,epc.mnc003.mcc272.3gppnetwork.org
Meteor Mobile Telecommunications Limited,7046,DRAIMSIPrefix,27203
MTN Cyprus,7402,DRACustomerRealmName,epc.mnc010.mcc280.3gppnetwork.org
MTN Cyprus,7402,DRAIMSIPrefix,28010
IDEA,7264,DRACustomerRealmName,epc.mnc056.mcc404.3gppnetwork.org
IDEA,7264,DRACustomerRealmName,epc.mnc007.mcc404.3gppnetwork.org
IDEA,7264,DRACustomerRealmName,epc.mnc024.mcc404.3gppnetwork.org
IDEA,7264,DRACustomerRealmName,epc.mnc012.mcc404.3gppnetwork.org
IDEA,7264,DRACustomerRealmName,epc.mnc019.mcc404.3gppnetwork.org
IDEA,7264,DRACustomerRealmName,epc.mnc078.mcc404.3gppnetwork.org
IDEA,7264,DRACustomerRealmName,epc.mnc022.mcc404.3gppnetwork.org
IDEA,7264,DRACustomerRealmName,epc.mnc852.mcc405.3gppnetwork.org
IDEA,7264,DRACustomerRealmName,epc.mnc850.mcc405.3gppnetwork.org
IDEA,7264,DRACustomerRealmName,epc.mnc044.mcc404.3gppnetwork.org
IDEA,7264,DRACustomerRealmName,epc.mnc014.mcc404.3gppnetwork.org
IDEA,7264,DRACustomerRealmName,epc.mnc849.mcc405.3gppnetwork.org
IDEA,7264,DRACustomerRealmName,epc.mnc848.mcc405.3gppnetwork.org
IDEA,7264,DRACustomerRealmName,epc.mnc004.mcc404.3gppnetwork.org
IDEA,7264,DRACustomerRealmName,epc.mnc070.mcc405.3gppnetwork.org
IDEA,7264,DRACustomerRealmName,epc.mnc082.mcc404.3gppnetwork.org
IDEA,7264,DRACustomerRealmName,epc.mnc087.mcc404.3gppnetwork.org
